spam/ham,VocabularyRichness,Legomena,Dislegomena,YuleK,Entropy,Sichel,Honore,WordLengthWithoutStopwords,InverseFI_WithoutStopwords,ComplexWordsWithoutStopwords,FISimpleWithoutStopwords,SimpleWordsWithoutStopwords,FKRI_WithoutStopwords,FORCAST_WithoutStopwords,SMOG_WithoutStopWords,FRESWithoutStopwords,FogIndexWithoutStopWords,FogIndex,FRES,SMOG-I,FORCAST,FISimple,InverseFI,SMOG,FKRI,ARI,CLI,SimpleWords,ComplexWords,WordLength,TFISFWithoutStopwords,MaxLongestRepeatingCharacter,MinCharacterDiversity,UniqueHTMLAnchor,RatioNonAlphaNumToAll,RatioDigitToAll,RatioUpperToAll,RatioUpperLower,AvgWordsinSentences,AvgCharinParagraphs,AvgWordsinParagraphs,AvgSentenceinParagraphs,CountofParagraphs,SpamWords,FunctionWords,HTMLAnchor,HTMLNotAnchor,HTMLImage,LongestCapital,CountCapWord,SenBegLower,CountLines,SenBegUpper,AllCountDigitWord,CountSentence,SingleCharWords,HTMLTags,DuplicateWords,CountLowerChars,TFISF,SingleDigitWords,AllCountCapWord,QuestionMark,SingleLetterWords,ExclamationMark,CountUpperChars,Comma,CountWord,SemiColon,Colon,SingleQuote,Period,Space,Tab,Dollar,Ellipsis,WordsMinChar,MultipleExclamationMarks,AlphaOnly,AlphaChars,MultipleQuestionMarks,SpecialChars,WordsMaxChar,CountDigitChars,WordsAVGChar,CountWordLess3Char,CountChars,CountWordLonger6Char,AlphaNumeric
0,1,2,0,0,0.693147181,0,0,0,2.5,0,0.4,0,-15.59,20,3,205.82,0.4,0.4,205.82,3.1219,20,0.4,2.5,3,-15.59,0,0,0,0,0,0,1,1.44224957,0,0,0,0,0,1,3,1,1,1,0,0,0,1,0,0,0,1,5,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,3,0,3,3,0,1.5,1,14,0,0
0,0.691011236,97,15,83.95404621,4.600991121,0.12195122,2451.382218,1.918604651,0.063624527,19,37.57767442,66,12.19753488,13.4,13.67707825,27.06304651,15.7172093,16.05944954,38.79240367,14.54739255,11.6,39.54568807,0.062268635,13.95445115,11.31429358,43.93857143,-15.26953831,84,20,1.724770642,241,46,1.192817346,0,0.5,1,1,3,22.4,30.75,7,1.0625,16,0,35,0,1,0,5,40,88,25,40,1,5,43,1,17,599,278,1,10,2,6,0,70,11,139,0,6,10,21,114,0,0,0,1,0,109,669,0,260,12,39,4.47752809,54,1016,37,2
0,0.280276817,13,39,297.8891536,3.952900396,0.481481481,674.9714143,2.154761905,0.065396114,18,43.86285714,78,15.92019048,12.2,13.39230485,7.490142857,15.29142857,15.18268041,22.30482474,13.96107395,11.4,43.22391753,0.065864523,13.39230485,14.10975258,66.74709302,-14.93642167,86,18,1.948453608,248,64,1.172227641,0,0.5,1,1,1,20.6,15.41935484,3.322580645,1.064516129,31,0,9,0,1,0,9,41,78,41,41,6,5,97,1,30,596,264,2,9,1,4,2,116,12,183,6,17,1,13,171,0,0,0,1,0,97,712,0,538,12,123,3.934256055,49,1453,54,8
0,0.486111111,154,23,218.2998971,4.72078509,0.10952381,2275.659596,1.917748918,0.023392879,69,53.13766234,129,23.80943723,7.1,29.26785107,-33.56155844,42.74805195,49.6122807,-33.21504386,30.51926867,2.2,63.95438596,0.0201563,29.26785107,26.68618421,67.03228464,-15.37520719,178,69,1.621710526,249,47,1.223847087,0,0.5,1,1,1,103.3333333,42.34285714,8.857142857,1,35,5,68,0,1,0,4,85,236,48,85,6,3,130,1,48,1503,292,1,26,0,34,0,159,20,334,0,5,9,10,256,0,0,0,1,0,304,1662,0,449,17,17,4.027777778,150,2222,95,0
0,0.733333333,47,3,177.7777778,3.801099906,0.054545455,2968.273078,2.279069767,0.032099134,15,41.38604651,26,21.44302326,17.4,24.21320344,-29.61930233,31.15348837,32.71111111,-10.90833333,25.24727118,16.8,45.3037037,0.030570652,24.21320344,19.61592593,72.1378125,-15.23540556,32,15,1.925925926,0,46,1.196146055,0,0.5,0,1,1,54,29.11111111,6,1,9,0,11,0,1,0,6,16,44,16,16,0,1,17,1,6,335,0,0,4,0,3,0,29,3,60,0,2,2,10,43,0,0,0,1,0,54,364,0,133,13,0,5.2,25,527,18,0
0,0.503521127,96,24,171.5929379,4.508587795,0.167832168,1718.73046,1.869565217,0.044800873,38,42.44521739,119,15.75286957,8.1,18.09966887,15.98678261,22.32099379,24.82790698,27.43651163,19.48071579,5,45.10697674,0.040277257,18.68438714,15.04488372,42.3342,-15.38513922,150,41,1.604651163,293,3,1.238598968,0,0.5,1,1,1,43.2,95.4,21.6,1.1,10,2,70,0,1,0,3,36,207,23,36,1,5,58,1,39,1130,353,0,18,0,20,0,64,5,246,0,2,15,13,216,0,0,0,1,0,215,1194,0,307,12,8,4.387323944,103,1553,62,0
0,0.230563003,14,34,275.5715918,3.982228901,0.395348837,707.2996446,2.336363636,0.040841584,27,51.03030303,100,24.97909091,10,19.43167673,-28.0380303,24.48484848,25.37142857,-16.40928571,20.26013882,8.8,52.35555556,0.039414414,19.43167673,24.16206349,73.1433631,-14.96559524,112,27,2.134920635,189,64,1.172227641,0,0.5,1,1,1,44,18.16129032,4.258064516,1,31,0,10,0,1,0,9,38,124,41,38,6,3,140,1,32,845,203,0,8,1,12,0,116,30,230,6,17,1,13,211,0,0,0,1,0,126,961,0,639,11,125,3.828418231,72,1805,65,8
0,0.389324961,157,44,134.4114509,4.858658191,0.177419355,1759.647115,2.920930233,0.05676984,69,37.1498708,174,22.64697674,2.6,13.72380529,-52.39930879,17.61498708,16.51058618,-23.31769904,14.30682892,0.6,36.19562555,0.060567202,13.72380529,18.71727034,77.50337342,-14.93550959,194,69,2.551181102,998,6,1.127448541,0,0.75,1,1,5,15.88888889,23.07142857,5.089285714,1.142857143,56,5,44,0,1,0,9,73,212,82,73,22,18,209,1,59,2207,1061,9,15,2,9,3,170,21,401,24,41,5,70,487,0,0,0,1,0,254,2377,0,1180,16,134,4.899529042,129,3853,102,23
0,0.401869159,76,24,184.3926204,4.363368122,0.186046512,1404.74699,1.818181818,0.050613497,14,53.93939394,108,19.90454545,9.2,14.83215957,15.80015152,19.75757576,21.34278215,22.64461942,15.46284243,8.1,54.41364829,0.046854248,14.83215957,19.5776378,62.76014006,-15.05463699,119,14,1.669291339,198,5,1.291549665,0,0.4,1,1,1,43,20.03448276,4.448275862,1.068965517,29,0,24,0,1,0,7,28,136,47,28,2,3,107,1,23,835,214,1,13,0,9,0,107,17,211,4,8,6,6,241,0,0,0,1,0,127,942,0,491,11,101,3.937694704,49,1626,63,2
0,0.537037037,160,41,112.7400549,5.011707935,0.176724138,1955.381578,2.129353234,0.052492379,59,33.57774763,132,14.21636816,6.8,15.68499471,8.144898236,19.05038444,18.67518087,34.38686694,16.35234949,0.1,38.0523435,0.053547005,15.68499471,11.79901856,47.23600731,-15.30384555,199,59,1.723183391,556,71,1.150447148,0,0.5,1,1,1,27.27272727,82,18.75,1.125,16,6,109,0,1,0,3,58,269,34,58,7,11,96,1,54,1582,677,0,33,2,24,3,136,14,349,0,4,16,26,290,0,0,0,1,0,289,1718,0,675,13,60,4.400462963,153,2519,94,10
