spam/ham,VocabularyRichness,Legomena,Dislegomena,YuleK,Entropy,Sichel,Honore,WordLengthWithoutStopwords,InverseFI_WithoutStopwords,ComplexWordsWithoutStopwords,FISimpleWithoutStopwords,SimpleWordsWithoutStopwords,FKRI_WithoutStopwords,FORCAST_WithoutStopwords,SMOG_WithoutStopWords,FRESWithoutStopwords,FogIndexWithoutStopWords,FogIndex,FRES,SMOG-I,FORCAST,FISimple,InverseFI,SMOG,FKRI,ARI,CLI,SimpleWords,ComplexWords,WordLength,TFISFWithoutStopwords,MaxLongestRepeatingCharacter,MinCharacterDiversity,UniqueHTMLAnchor,RatioNonAlphaNumToAll,RatioDigitToAll,RatioUpperToAll,RatioUpperLower,AvgWordsinSentences,AvgCharinParagraphs,AvgWordsinParagraphs,AvgSentenceinParagraphs,CountofParagraphs,SpamWords,FunctionWords,HTMLAnchor,HTMLNotAnchor,HTMLImage,LongestCapital,CountCapWord,SenBegLower,CountLines,SenBegUpper,AllCountDigitWord,CountSentence,SingleCharWords,HTMLTags,DuplicateWords,CountLowerChars,TFISF,SingleDigitWords,AllCountCapWord,QuestionMark,SingleLetterWords,ExclamationMark,CountUpperChars,Comma,CountWord,SemiColon,Colon,SingleQuote,Period,Space,Tab,Dollar,Ellipsis,WordsMinChar,MultipleExclamationMarks,AlphaOnly,AlphaChars,MultipleQuestionMarks,SpecialChars,WordsMaxChar,CountDigitChars,WordsAVGChar,CountWordLess3Char,CountChars,CountWordLonger6Char,AlphaNumeric
1,0.526442308,152,32,87.2549926,5.003824501,0.146118721,1971.223988,1.228699552,0.081115686,19,36.72269058,155,4.953654709,4.5,10.54983444,80.25251794,12.32807175,15.40415902,78.95459174,10.99637732,-3.8,42.19314985,0.064917533,10.54983444,6.89933945,27.97189076,-15.47168468,238,19,1.119266055,485,4,1.243575228,0,0.5,1,1,2,32.9,686.5,164.5,5,2,3,145,0,1,0,6,35,311,6,35,2,10,70,1,57,1324,636,0,6,0,14,0,126,16,351,0,1,17,19,317,0,0,2,1,0,327,1450,0,420,13,15,3.612980769,155,1895,61,0
1,0.75,74,11,98.61111111,4.323639021,0.122222222,2692.964105,1.661538462,0.098113208,6,39.11538462,53,9.183653846,14.7,9.708203932,49.77509615,10.19230769,11.59662921,64.48046348,10.1185567,13,40.36067416,0.086231954,9.708203932,7.940617978,29.57542857,-15.40201091,70,6,1.415730337,91,2,1.198421607,0,0.5,1,1,2,22.75,70.66666667,15.16666667,1,6,0,32,0,1,0,6,14,84,10,14,2,4,23,1,13,436,113,0,2,0,4,0,48,1,100,0,2,7,7,83,0,0,0,1,0,89,484,0,118,12,8,4.191666667,39,628,24,2
1,0.700934579,60,7,120.5345445,4.124600005,0.093333333,2336.414417,1.258064516,0.122162673,5,30.76645161,40,2.37516129,16,8.477225575,87.81674194,8.185806452,8.949135802,91.16977778,8.834646275,14.5,33.64049383,0.111742633,8.477225575,2.539506173,28.08709091,-15.45378316,55,5,1.172839506,136,2,1.210189631,0,0.2,1,1,3,17,69.6,17,1.2,5,0,26,0,1,0,6,15,70,9,15,4,5,21,1,11,343,168,2,1,0,1,0,43,1,89,0,1,2,7,76,0,0,0,1,0,81,386,0,104,10,8,3.738317757,33,514,14,0
1,0.348977136,199,33,294.6010562,4.659330888,0.113793103,2142.376528,1.117913832,0.051502447,52,36.10589569,236,5.27138322,-3.6,14.40175425,74.9582398,19.41655329,23.2742552,70.07978148,15.01392968,-14.3,42.90326026,0.042965929,14.40175425,7.636083474,38.71207483,-15.47927103,343,52,1.023608769,750,3,1.245978848,0,0.5,1,1,2,49.66666667,302.75,74.5,1.5,8,2,178,0,1,0,3,147,479,12,147,3,12,310,1,74,2203,921,0,101,0,115,0,387,16,635,0,0,30,23,438,0,2,0,1,0,593,2590,0,701,14,26,3.299638989,297,3339,133,0
1,1,1,0,0,0,0,0,0,NaN,0,0,0,0,20,3,0,0,0,0,3.1219,20,0,NaN,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0
1,0.410071942,206,31,251.7882097,4.76910911,0.10877193,2360.778324,1.146067416,0.072070224,39,31.62816479,197,3.055595506,0.3,11.83176087,85.7883633,13.87535581,16.37203252,84.81617073,12.4507756,-9.2,36.8598374,0.061079771,11.94427191,4.377609756,36.4356621,-15.45858109,292,40,1.048780488,925,3,1.254196723,0,0.5,1,1,2,33,42.9,9.88,1.08,50,3,135,0,1,0,11,134,382,54,134,3,15,243,1,67,1878,1126,1,83,0,77,1,405,9,527,4,1,25,19,366,0,0,0,1,0,492,2283,0,576,19,19,3.397122302,228,2984,112,0
1,0.424753868,203,53,225.8264246,4.904754004,0.175496689,2003.166741,1.174418605,0.088812392,44,31.16666667,258,2.460639535,-5.8,10.41619849,89.29376938,11.25968992,12.02941176,93.20154412,10.9444,-10.1,32.10784314,0.083129584,10.5,2.142426471,28.6860825,-15.50054721,301,45,1.088235294,1125,3,1.225845774,0,0.5,1,1,3,21.5,117.0625,32.25,1.75,16,1,110,0,1,0,9,211,333,20,211,6,24,257,1,73,1653,1266,3,134,0,113,0,417,7,565,0,2,35,36,384,0,1,1,1,0,510,2070,0,656,15,38,3.125175809,309,2802,102,0
1,0.501730104,109,15,187.2582943,4.461616608,0.103448276,2282.310749,1.202531646,0.014982552,14,87.50379747,96,36.03987342,10.4,23.49390153,-55.26917722,66.7443038,87.82910798,-101.1092958,24.4970393,6.7,110.1765258,0.011385747,23.49390153,49.0771831,90.32849624,-15.44942556,133,14,1.084507042,0,3,1.176047429,0,0.5,1,1,2,217,95.22222222,24.11111111,1,9,1,60,0,1,0,7,44,183,13,44,3,1,87,1,28,851,0,3,24,0,31,0,117,8,233,0,1,11,12,176,0,0,2,1,0,213,968,0,272,14,14,3.546712803,107,1278,39,1
1,0.551282051,71,8,392.8336621,3.859579708,0.093023256,2895.250777,1.302325581,0.054219906,15,30.53643411,41,5.10744186,15.9,15.24744871,67.56158915,18.44341085,20.12121212,69.63651515,15.89598901,14.2,35.75757576,0.049698795,15.24744871,5.895454545,47.19287356,-15.42723034,58,15,1.181818182,87,2,1.248754891,0,0.4,1,1,4.5,37,129.25,27.75,1.25,4,0,30,0,1,0,9,35,81,8,35,1,3,58,1,13,461,108,0,21,2,21,0,114,0,118,0,1,0,7,80,0,0,0,1,0,110,575,0,135,13,2,3.820512821,49,726,33,0
1,0.712418301,86,17,85.437225,4.498002181,0.155963303,2383.990145,1.530864198,0.083084227,15,29.31992945,50,5.259911817,15,11.01783726,65.57888889,12.03597884,11.78881988,81.28347826,11.48450426,12.8,31.61490683,0.084826133,11.01783726,3.607515528,29.96244048,-15.4672856,72,15,1.286956522,201,2,1.202545832,0,0.5,1,1,2,16.57142857,255.5,58,4,2,2,37,0,1,0,4,23,98,6,23,1,7,37,1,18,501,252,0,5,0,9,0,47,5,124,0,1,7,7,105,0,0,0,1,0,115,548,0,147,15,2,3.77124183,56,707,26,0
