FileName|ReceivedTime|From|To|CC|BCC|Subject|HTMLBody|TextBody
0.eml|12/30/1899 12:00:00 AM|||||||My rady soobschit' vam, chto vy odin iz 5 schastlivyh pobeditelej v Euro Milliones Lottery International Email Address provedennoj 11/01/2011 goda, sredi imen i adresov elektronnoj pochty so vsego mira, rezul'tat byl poluchen 27/01/2011 goda.  Vse 5 vyigryshnyh adresov byli otobrany v proizvol'nom porjadke iz partii 50.000.000 mezhdunarodnyh adresov elektronnoj pochty. Adres Vashej elektronnoj pochty vypal v 2 kategorii v Euro Milliones Lottery Draw.Pobeditelju etoj kategorii dolzhno byt' vyplachen  â‚¬950,000.00.Nizhesledujuschie svedenija - Vashi personal'nye dannye dlja zajavki o vyigryshe: (1 serijnyj:  No: EGL / 417331247 / 11, (2) Bilet:  No: 474 589 747russkogovorjaschii agent : Karlos Peres Fernando. elektronnyi adres: [pacificonsults07@gmx.com] Kontaktnyj telefon: +34- 672-518- 447Eti dannye javljaobjazatel'nymi.1. Imja Familija, 2. Pol, 3. telefonnyj nomerS nailuchshimi pozhelanijami,Anna-Marija SAL'GADO(Ispolnitel'nyj sekreta General'nyj Menedzher)(Email: (pacificonsults07@gmx.com)###
1.eml|12/30/1899 12:00:00 AM|||||||Dobro pozhalovat' na ofitsial'nyj sajt Reklamnaja kompanija "Honda" Vremenagoda. Opredelennyj artikl'Internet Potrebitel'skie Aktsii 2008Evropejskij region ofis:10 Kanada ploschadi,London HP1 8HFD,Anglija.Ssylka: 475061725Batch: 7056490902/188POZDRAVLJaEM!AWARD UVEDOMLENIJaMy s radost'ju soobschit' vam rozygrysh loterei Aktsii Honda za 2008 god v nashej shtab-kvartire Lotto Draw London, Soedinen oe Korolevstvo, organizovannyh Honda. Eto proinformirovat' Vas o tom, chto vy vyigrali priz den'gi GBP Ã‚Â£ 400000,00 (chetyresta tysjach, britanskih funtah sterlingov).Honda Promo-ink organizoval i sobral nekotorye vse adresa elektronnoj pochty ljudej, kotorye vedut aktivnuju dejatel'nost' v Internete, sredi millionov, kotorye podpisalis' na vseh pochtovyh uslug v pervuju ochered' Yahoo i Hotmail, my tol'ko vybrannye dvadtsati (20) kandidatov, za god, kak nash Pobediteli Tajnoe golosovanie s pomosch'ju elektronnoj sistemy (EBS) bez kandidata podat' zajavku, my blagodarim Vas za vremja odnoj iz nashih schastlivyh pobeditelej.Vyplata premii i pretenziiMy sozhaleem, chto Vasha oplata dos'e ofitsial'nogo utverzhdenija, byl napravlen v London iz-za nami 3 schastlivyh pobeditelej v Soedinennom AKorolevstve, chtoby vy mogli byt' ochischena i vyplachivaetsja odnovremenno suschestvuet. Vy dolzhny svjazat'sja s nashim Velikobritanija Mesto pretenzii Upravlenija goda ili do daty pretenzii.Honda Lotereja premii dolzhny byt' zajavleny ne pozdnee, chem 7days s daty uvedomlenija posle Draw Draw data, v kotorom zavoeval premiju.Primechanie: Vse premii ne utverzhdal v techenie etogo perioda (7 dnej), budeD1 annulirovan.Eto Vashi identifikatsionnye nomera:Bilet nomer: 00545 188 564756,Premija # 77801209/UK,Vyigryshnyj nomer: 4634553 / N,Porjadkovyj nomer 5368/02,Laki telefonam: 17 98 09 67 46Kak sostavit' svoj priz: Prosto kontakt s klientami Sluzhby informatsii Shtab-kvartiry (CSIHDepartment), Rev. Gorge David, Elektronnaja pochta: [rev.gorgedavid@ymail.com] Telefon: 447035915755VNIMANIE!Otpravit' eti sledujuschie dannye dlja CSIH Departament srazu dljadal'nejshej obrabotki.1 Fam8lija, imja, otchestvo:............................................... ...........2 sotovogo telefona :........................................................ili po telefonu :.........................................................3 Kontaktnyj adres ............................................... ..4 Data rozhdenija ............................................... ........5 Vozrast ...................................................................6 zanjatij ................................................. ........7Sex ....................................................................8 Semejnoe polozhenie ...................................................9 Strana proishozhdenija ...................................................10 vyigryshnyj nomer ................................................11 Serijnyj nomer ............................................... ..12 povezet nomera ...............................................Sohranite et0 chastnyj i konfidentsial'nyj harakter do teh por, poka vy poluchite svoj priz den'gami.Zametit', chto nikto ili dazhe naznachil bank imeet pravo na oschup', vychest' ili poluchit' dostup k vashej prizovoj fond, po kakoj-libo prichine oni byli strogo preduprezhdeny!Po soobrazhenijam bezopasnosti my sovety vseh pobeditelej, chtoby eta informatsija konfidentsial'naja ot gosudarstvennD1h do teh por, poka vashi pretenzii, obrabatyvaetsja i Vash priz vypuschen k Vam. Eto chast' nashej bezopasnosti protokola ob izbezhanii dvojnogo utverzhdaja i neobosnovannoe ispol'zovanie etoj programmy, ne-uchastnika ili neofitsial'nyh sotrudnikov.Pozdravljaem esche raz na svoj vyigrysh!S uvazheniem v ekspluatatsii,Prof Wilcox BrjusHONDA uvedomlenija ofisa Esli u vas est' voprosy ili p0etenzii pozhelat' vashej prizovoj fond, ljubezno svjazhites' s nami, [rev.gorgedavid@ymail.com] sm. instruktsii na etot organ soobschenie.Copyright (s) 2008 Reklamnaja kompanija "Honda"###
10.eml|12/30/1899 12:00:00 AM|||||||Corporate Communications6910-50th AvenuePostal Bag 649 Settler,AB T0C 2L0WINNING IZVESchENIEUvazhaemyj pobeditel',Vash adres elektronnoj pochty, chtoby vyigrat' ($ 8 20000usd) v kanadskoj Lotereja Inc svjaz' agent posle osvobozhdenija vashi den'giImja: Rev Piter Deprovil, EMAIL: [agentpeter_1@yahoo.co.uk] Telefon: +2347035115232, Nigerija ofise.Vash adres elektronnoj pochty pri biD0et nomer: B9564 7560 4545 100 s serijnyj nomer 046560 obra8 2il pobedy chisla 1/16/28/29/39/45 Bonus 23. Fajl EAAL/9080118308/04.Vash wining nomera neudachu v nashih afrikanskih regionah, tak chto vam budut pokryvat'sja za schet nashih afrikanskih unit.Your vyplaty premii otbora sluchajnyh adres elektronnoj pochty po vsemu miru.Prosto napishite na nizhe sl dujuschie svedenijaPolnoe imja:Kontaktnyj adres:Telef ny:Data rozhdenija:Pol:Vozrast:Grazhdanstvo:Profe1sii:Vyigryshnye nomera:Pozdravljaem esche raz vseh chlenov i sotrudnikov etu programmu na vse, chto uspeshno vyigrala etot konkurs i blagodarim Vas za uchastie v nashej reklamnoj loteree programmy.S uvazheniem,Mrs. Johnson Rozmari###
11.eml|12/30/1899 12:00:00 AM|||||||Vashijat imejl adres specheli 1,000,000 na Nokia UK PROMO 2012, za da se tv'rdi, izpratete ime / adres / mobilen e-mejl: [nokiacordd2012@live.com]Avtorsko pravo? 2012 Nokia. Vsichki prava zapazeni.###
12.eml|12/30/1899 12:00:00 AM|||||||Nagrad Avstralijskogo departamenta mezhdunarodnyh loterejah lotereju korporatsii.Data: 23/05/2008Ssylka: 575061/03Batch: 8056490902/188Vyigryshnye nomera 1 2 26 30 40 21AWARD uvedomlenija: okonchatel'nyj uvedomlenijaPoluchatel':Vy nahodites' zdes' byli utverzhdeny vyplaty zarabotnoj platy 500000,00 doll. SShA (pjat' TYSJaCh DOLLAROV SShA) nalichnymi, kreditnoj fajl ish: ILP / HW 46704/03 ot Obschaja summa nalichnyh sredstv, sobrannyh premii Vosem' schastlivyh pobeditelej v etoj kategorii.Iz-za smeshivat' nekotorye tsifry i familii, vam rekomenduetsja hranit' vashi pobedy konfidentsial'nuju informatsiju do teh por, poka vashi pretenzii byli obrabotany i vashi den'gi perevodjatsja na Vash bankovskij kandidaturu. Eto chast' nashej bezopasnosti, chtoby izbezhat' protokola dvojnye neobosnovannyh pretenzij i zloupotreblenija etoj programmy v nekotoryh uchastnikov. Vse Uchastniki otbirajutsja posredstvom kotoryh komp'juter / mailballoting izvlech' iz sistemy Devjat'sot tysjach adresa elektronnoj pochty iz Kanady, Avstralii, Soedinennyh Shtatov, Azija, Evropa, Blizhnij Vostok, Okeanija Africaand kak chast' nashej mezhdunarodnoj povyshenij programma, kotoraja provoditsja ezhegodno.Bolee togo, vashi dannye (adres elektronnoj pochty) podpadaet pod nashimi evropejskimi predstavitel'stvo v Amsterdam, Gollandija, kak ukazano v vashem igrat' kupon i Vash priz 500000,00 doll. SShA budet vypuschena k vam iz nashih regional'nyh filial v Londone. My nadeemsja s chast'ju vashego vyigrysha, vy budete uchastvovat' v nashem kontse goda vysokie stavki v SShA $ 5,4 mln. mezhdunarodnyh nich'ju.   KAK utverzhdat', prosto svjazhites' s vashim REGIONAL'NYE pretenzij agenta.************************************************** ***********************Prosto svjazhites' s MR. MARTIN CALFORD vashi pretenzii legko agenta po ego mobil'nyj i Krome togo, zapolnite i otprav'te formu nizhe pobediteljami po elektronnoj pochte, kak tol'ko vy poluchaete ETOT pobedy uvedomlenie, chtoby proverit' svoj fajl dlja oplaty. MR-Marten CALFORD, EMAIL: [martincalford@yahoo.com] Telefon: 234 8068 3674 73[Nomer telefona v Nigerii!]***********************************************************************Popytka svjazat'sja s nim sledujuschie dannye:Chtoby podat' dlja Vashego pretenzija. Obratite tsitatoj Summa Pobedy, data rozygrysha, identifikatsionnyj nomer, Nomer partii i vyigryshnyj nomer, kotoryj mozhno najti na verhnem levom uglu eto soobschenie. Takzhe, sleduet dat' v nomer telefona, chtoby pomoch' najti vash fajl legko.Vy Po soobrazhenijam bezopasnosti my sovety vseh pobeditelej, chtoby eta informatsija konfidentsial'nyj ot gosudarstvennyh do teh por, poka vashi pretenzii, obrabatyvaetsja i Vash priz imeet byl vypuschen k Vam, a takzhe obschestvennosti. Eto chast' nashej bezopasnosti protokola ob izbezhanii dvojnogo utverzhdaja i neobosnovannoe vospol'zovavshis' etoj programmy, ne-uchastnika ili neofitsial'nyh sotrudnikov.Primechanie: Vse vyigryshi DOLZhEN byt' zajavleny do 30 maja 2008 goda, otherwiseall fondy budet forfited. Pozdravljaem esche raz na vashem vyigrysh.S uvazheniemMERI CROWN (MRS)(LOTEREI koordinator)Pozhalujsta, svjazhites' s vashim PRETENZII agenta v: [martincalford@yahoo.com] `. Ili po telefonu 234 8068 3674 73 Ljuboe narushenie konfidentsial'nosti na Chasti Pobediteli privedet k Diskvalifikatsija.POZDRAVLJaEM! Vy vyigrali ($ 500000,00 SShA)Ne otvechajte eto pis'mo, otvetit' na vashi pretenzii na agenta; [martincalford@yahoo.com] trebovanie agenta; [martincalford@yahoo.com]###
13.eml|12/30/1899 12:00:00 AM|||||||Ja miss ljubit, ja hotel by znat' bol'she o vas, pozhalujsta, nikogda ne vidim, chtoby kontakty mne cherez elektronnuju pochtu (lovethlnkaje20@hotmail.com), chto pozvolit mne ob'jasnit' sebja Vam, ja budu takzhe otpravit' moju fotografiju dlja vas znat', s kem ja est'. Spasibo i ostajutsja Blazhennogo.PrivetMiss ljubit.[lovethnkaje20@hotmail.com]###
14.eml|12/30/1899 12:00:00 AM|||||||kak zhe ty tam delaesh' ja videl vash profil' segodnja ja vybrat' ochen' schastliv v svoem profile Ihotel, chtoby vy otpravit' mne vashu elektronnuju pochtu, chtoby moj pochtovyj jaschik tak, chtoby ja dam vam svoj prekrasnuju kartinuchtoby vy znali, menja eto moj adres elektronnoj pochty (Faithjohnson2015@yahoo.co.uk)###
15.eml|12/30/1899 12:00:00 AM|||||||Ja nadejus', u prekrasnyh porjadke, dorogaja moja ljubov' ne mozhet byt' najden na ulitse, vy dolzhny poprobovat' postroit' ee s kem-to. Tsel' sotsial'noj romanticheskim chelov&#1077!;kom, ja ljublju takih kachestv v ochen' horoshej, ljubjaschej zaboty man.cheerfulness, blagorodstva, chestnoj, ponimaja, ljubjaschej zaboty obschestvennogo cheloveka. Ja starajus' prostit' kazhdogo chel&#10!86;veka, no et!ozavisit ot cheloveka. No ja dumaju, chto ja mogu prostit' moih ljubimyh one.i ljublju solnechnuju pogodu letom. u nas net postojannogo hobbi, potomu, chto v nashej zhizni segodnja, est' mnog&#10!86; interesnyh veschej, chto eto pochti nevozmozhnym, chtoby posvjatit' vse vremja chto-to vy hotite, kazhdaja vesch' takzhe zavisit ot moego nastroenija. Ja tozhe ljublju PET Ja koshku so mnoj!. Tsel' ischet &#!1095;&#1077;loveka, s kotorym ja chuvstvoval sebja kak moja nastojaschaja zhenschina, ja hochu skazat' cheloveku, chto ja budu tratit' na vsju zhizn'. Etot chelovek dolzhen hotjat imet' otnoshenija vzai&#!1084;nogo ponimanija ljubvi bez kakih-libo problem, pozhalujsta, prishlite mne Ura adres elektronnoj pochty, tak chto ja mogu otpravit' svoi fotografii U drugie podrobnosti moe&#1!075;o ja ne zab&#1086!;tjatsja o Ura vozrasta ili rasstojanija, pomnju U mozhno postroit' esche Ur Love Again poetomu moi dorogie pozvoljajut stroit' ego vmeste s odnoj ljubvi doverie. Takzhe pomnite, chto ljubov' i b&#1088!;ak ne v schet ili znat', esli vy stary ili molody.###
16.eml|12/30/1899 12:00:00 AM|||||||Menja zovut miss Kristana, ja uvidel, ur profil' zdes' na etom sajte, ja hotel byt' Ura drugu, a takzhe dolja obschih chert s i, Ljubov' daet nam sily zhit' mozhet u Prishlite mne Ura adres elektronnoj pochty, s tem chtoby, ja poshlju moi fotografii i, ja budu rad, esli vy mozhete otpravit' otvet s krasivymi fotografijami real'nyh tesnoj druzhby i, v svoju Horoshego dnja, ja nadejus' uslyshat' ot vershiny, vy vse ravno mozhete svjazat'sja ili napishite mne cherez moj adres elektronnoj pochty [bahichristana@gmail.com], ja schitaju, u budet bolee podrobno rasskazat' o moej zhizni, kogda vse my oba sobiralis' vmeste, kak odna v zhizni, ljubvi, ne o poiske nuzhnogo cheloveka, no sozdaet pravil'nye otnoshenija, ego ne o tom, skol'ko U ljubvi est' v D. nachalo, no skol'ko ljubvi vy postroit' do kontsa.###
17.eml|12/30/1899 12:00:00 AM|||||||New York, NY 10003,Bangalore, N'ju-Jork,Soedinennye Shtaty Ameriki.Otrasl':Adres: 80 Molot Smith Road,London, W14 8UDVelikobritanijaAnglija.Amerikanskaja internet Fond byl sozdan v Velikobritanii v 1983 godu, neskol'ko millionov amerikantsev, i gruppa v nastojaschee vremja pri podderzhke Organizatsii Ob'edinennyh Natsij (OON), Evropejskij sojuz (ES). A Prodovol'stvennaja i sel'skohozjajstvennaja organizatsija (FAO).V ramkah prazdnovanija 28-letija programmy, amerikanskij internet Fond London, sovmestno s rjadom natsional'nyh kompanij i drugih sootvetstvujuschih organov v proizvodstve ezhegodnyj vznos v razmere Ã‚Â£ 2,000.000.00 GBP britanskij funt sterlingov (dva milliona Velikij britanskij funt sterlingov) do vos'mi povezlo poluchatelej. Vy byli otobrany sredi schastlivyh poluchatelej poluchit' nagradu summe Ã‚Â£ 2,000.000.00 Funt GBP (dva milliona Velikij britanskij funt sterlingov) v kachestve blagotvoritel'nyh pozhertvovanij / pomosch' ot amerikanskogo Fonda v Angliju v sootvetstvii s blagoprijatnoj akta parlamenta.Kompanii i sponsorov, kotorye javljajutsja sponsorami premii ot amerikanskih pooschrenija Internete nizhe.Dell komp'juternoj kompanii.Kompanija Toyota.Kompanija Heineken.Coca-Cola Company.BellSouth tehnologij.Fizicheskoe litso donorov.1) Uorren Baffet organizatsija (SShA).2) Roman Abramovich organizatsii (Rossija).3) Ee Velichestva Korolevy Elizavety II v (Soedinennoe Korolevstvo Velikobritanija).4) Prints Alvalid bin Talal Alsaud (Saudovskaja Aravija).Kak poluchit' Vash priz:Svjazat'sja s bankom poluchatelja platezha v tsentre Londona, gde vash vyigrysh pal dlja bystroj peredachi vashih vyigral priz.Svjazat'sja s bankom: Barclays Bank Plc v Londone.Contact Manager: Endi RajtKontaktnyj adres elektronnoj pochty: [barclaysbank.andy1@superposta.com]Telefon: +447024056582Vy dolzhny zapolnit' etu formu, kak pokazano nizhe:Imja poluchatelja: .............Polnyj adres poluchatelja: ...............Rod zanjatij poluchatelja ..............Telefon poluchatelja: .................Vozrast poluchatelja ...................My pozdravljaem Vas i sovetuem vam sdelat' razumnoe ispol'zovanie vashej premii, kogda ona doberetsja do vas.Podpis'.Majkl KelliGlavnyj operatsionnyj direktor America Online / prezident Media Seti AOL.Stiv KejsSo-osnovatel', byvshij general'nyj direktor i predsedatel' America Online loterei (AOL).###
