spam/ham,VocabularyRichness,Legomena,Dislegomena,YuleK,Entropy,Sichel,Honore,WordLengthWithoutStopwords,InverseFI_WithoutStopwords,ComplexWordsWithoutStopwords,FISimpleWithoutStopwords,SimpleWordsWithoutStopwords,FKRI_WithoutStopwords,FORCAST_WithoutStopwords,SMOG_WithoutStopWords,FRESWithoutStopwords,FogIndexWithoutStopWords,FogIndex,FRES,SMOG-I,FORCAST,FISimple,InverseFI,SMOG,FKRI,ARI,CLI,SimpleWords,ComplexWords,WordLength,TFISFWithoutStopwords,MaxLongestRepeatingCharacter,MinCharacterDiversity,UniqueHTMLAnchor,RatioNonAlphaNumToAll,RatioDigitToAll,RatioUpperToAll,RatioUpperLower,AvgWordsinSentences,AvgCharinParagraphs,AvgWordsinParagraphs,AvgSentenceinParagraphs,CountofParagraphs,SpamWords,FunctionWords,HTMLAnchor,HTMLNotAnchor,HTMLImage,LongestCapital,CountCapWord,SenBegLower,CountLines,SenBegUpper,AllCountDigitWord,CountSentence,SingleCharWords,HTMLTags,DuplicateWords,CountLowerChars,TFISF,SingleDigitWords,AllCountCapWord,QuestionMark,SingleLetterWords,ExclamationMark,CountUpperChars,Comma,CountWord,SemiColon,Colon,SingleQuote,Period,Space,Tab,Dollar,Ellipsis,WordsMinChar,MultipleExclamationMarks,AlphaOnly,AlphaChars,MultipleQuestionMarks,SpecialChars,WordsMaxChar,CountDigitChars,WordsAVGChar,CountWordLess3Char,CountChars,CountWordLonger6Char,AlphaNumeric
1,0.668478261,97,14,95.69943289,4.565108074,0.113821138,2467.065762,2.574257426,0.050297803,40,28.19841584,61,17.16523762,13.9,13.95445115,-21.19867822,19.88158416,18.76571429,-6.213357143,14.54739255,13.3,28.40857143,0.053288672,13.95445115,15.15335714,54.60865672,-15.3013291,67,40,2.383928571,298,3,1.184611079,0,0.4,1,1,1,12.3,79.22222222,13.66666667,1.777777778,9,0,29,0,1,0,4,37,78,13,37,11,10,57,1,18,696,318,8,4,0,8,0,45,8,142,0,9,9,14,125,0,0,0,1,0,112,741,0,194,18,75,4.777173913,39,1034,57,2
1,0.603618421,295,42,91.16386773,5.414431444,0.114441417,3267.408586,2.56379822,0.042914538,149,28.76206726,195,17.83156899,0.5,16.64734406,-24.31462104,23.30212661,21.64351396,-5.373840312,17.45129283,-4.2,30.6090312,0.046203218,16.73863166,15.54644089,63.72059229,-15.23324503,242,151,2.305418719,1203,5,1.219013654,0,0.4,1,1,11,18.41666667,53.9375,9.208333333,1.104166667,48,6,131,0,1,0,11,102,319,52,102,27,24,158,1,64,2453,1352,10,10,0,31,4,158,39,470,0,14,36,733,411,0,0,229,1,0,406,2611,0,1275,18,128,4.652960526,132,4116,181,9
1,0.756756757,122,9,85.31775018,4.720204071,0.064285714,4060.276753,2.423423423,0.04437515,42,34.42702703,75,17.8813964,12.5,17.49137675,-16.96412162,22.53513514,21.69501312,-3.833418635,18.23640595,11.4,35.55328084,0.046093542,17.49137675,16.38740157,47.78817829,-15.29608108,86,42,2.236220472,282,4,1.195813175,0,0.4,1,1,4.5,23.16666667,35.30434783,6.043478261,1.043478261,23,3,32,0,1,0,7,43,93,27,43,4,6,41,1,15,751,309,1,4,0,7,0,69,8,151,0,13,5,9,125,0,1,0,1,0,127,820,0,179,14,82,5.048648649,35,1133,58,10
1,0.842105263,26,6,83.10249307,3.418697576,0.1875,1940.045952,2.173913043,0.065614302,7,30.89275362,16,12.14217391,18.4,11.36660027,15.14028986,15.24057971,15.24057971,15.14028986,11.84826408,18.4,30.89275362,0.065614302,11.36660027,12.14217391,43.05541667,-15.31863043,16,7,2.173913043,37,3,1.193104276,0,0.4,1,1,0.25,8.333333333,60.5,12.5,2,2,0,0,0,1,0,5,7,18,6,7,2,3,9,1,3,123,37,0,2,1,0,0,12,4,29,0,1,1,3,27,0,0,0,2,0,23,135,0,46,9,19,4.342105263,8,210,9,1
1,0.576592083,258,41,97.34536869,5.322342005,0.12238806,2769.079875,2.588405797,0.041547494,158,27.66304348,189,18.02443841,1.1,17.05346932,-26.73475543,24.06884058,22.37970137,-7.07552613,17.87214746,-3.3,29.44991929,0.044683349,17.14213562,15.59625,55.42854435,-15.32335707,233,160,2.322033898,1125,72,1.219728587,0,0.4,1,1,11,17.625,117.9090909,19.22727273,1.636363636,22,7,137,0,1,0,9,89,332,28,89,10,24,151,1,69,2491,1273,2,18,0,29,2,193,39,457,2,11,44,26,412,0,2,0,1,0,413,2684,0,720,18,104,4.986230637,116,3562,178,0
1,0.732394366,43,5,166.6336044,3.767022044,0.096153846,2462.881707,2.230769231,0.061699098,12,29.54102564,25,13.17057692,17.5,12.48683298,8.215673077,16.20769231,14.8,25.455,13.0166668,16.7,32.3,0.067567568,12.48683298,11.2275,34.79045455,-15.38875379,33,12,2,58,2,1.198421607,0,0.4,0.076923077,0.6,1,12,58,12,1.25,4,2,23,0,1,0,3,6,44,8,6,0,4,20,1,6,269,67,0,0,0,3,0,6,7,53,0,0,7,5,44,0,0,0,1,0,48,275,0,72,12,4,4.211267606,19,365,12,2
1,0.766666667,40,2,150,3.674245062,0.043478261,3138.997498,2.024390244,0.039713289,9,46.64390244,31,20.38780488,16.9,19.43167673,-6.043414634,25.1804878,26.45957447,-2.87,20.26013882,16.4,49.43829787,0.037793503,19.43167673,21.04574468,40.39916667,-15.38911584,36,9,1.914893617,0,2,1.191698005,0,0.4,0.142857143,1,0.05,47,78.66666667,15.66666667,1,3,0,26,0,1,0,3,2,46,7,2,0,1,11,1,4,255,0,0,1,0,2,0,2,4,50,0,0,5,2,45,0,0,0,1,0,47,257,0,62,12,4,4.566666667,18,335,12,1
1,0.576323988,149,19,166.1474559,4.708218288,0.102702703,2965.879466,2.25,0.05952381,52,29.87692308,103,13.19166667,9.7,12.30949336,7.688333333,16.8,14.84154589,29.23206522,12.92462046,5.6,32.42608696,0.067378426,12.39858145,10.67396135,31.99229167,-15.40778841,144,53,1.961352657,544,2,1.245978848,0,0.2,1,1,1,12.22222222,80.92857143,15.71428571,1.571428571,14,0,134,0,1,0,3,17,195,18,17,13,18,114,1,29,1117,669,2,3,0,16,10,19,26,225,9,0,24,11,201,0,0,0,1,0,207,1136,0,305,15,36,3.666666667,75,1511,65,0
1,0.630681818,88,13,214.3595041,4.316231465,0.117117117,2495.320537,1.93,0.020661157,21,70,75,36.434,12.5,28.0998008,-57.943,48.4,60.16716418,-73.12126866,29.91705516,10,83.45074627,0.016620361,28.69046516,43.48761194,67.0978,-15.44401672,100,22,1.701492537,0,2,1.208458568,0,0.5,0,1,0.5,134,610,134,1,1,0,77,0,1,0,3,9,127,5,9,0,1,55,1,20,623,0,0,1,0,16,0,9,22,137,0,0,17,3,130,0,0,0,1,0,134,632,0,178,13,0,3.647727273,58,818,30,0
1,0.610705596,202,34,110.7026361,5.064582519,0.135458167,3082.993667,2.632911392,0.045908753,109,24.82031344,127,17.247283,7.3,13.80674393,-24.5005538,21.78233876,19.95734621,-2.35694395,14.54739255,5,25.36659888,0.050106862,13.95445115,14.25658109,57.92737143,-15.34425832,150,112,2.352313167,855,3,1.192817346,0,0.4,1,1,3,10.35714286,46.61538462,7.435897436,1.051282051,39,1,74,0,1,0,3,114,172,43,114,7,28,114,1,42,1722,955,4,15,0,27,0,135,18,323,0,11,22,107,251,0,0,24,1,0,281,1857,0,450,18,51,4.98296837,78,2442,140,3
1,0.606217617,274,45,82.74644211,5.414314081,0.128205128,2899.762558,2.668621701,0.040487857,160,28.56973097,193,19.17234477,0.7,17.44630237,-33.97887416,24.69876323,22.67712312,-6.356097115,18.32999511,-4.2,30.06030069,0.044097304,17.58110749,15.61488013,53.29363816,-15.33781167,242,163,2.296728972,1147,3,1.228740676,0,0.5,1,1,12,19.17391304,134.3,22.05,1.65,20,6,189,0,1,0,6,67,378,24,67,9,23,139,1,64,2729,1306,0,3,0,42,3,100,35,477,0,8,35,30,424,0,0,0,1,1,428,2829,0,585,19,109,5.231433506,127,3569,207,4
1,0.68852459,66,12,133.0287557,4.203206716,0.142857143,2241.876488,2.119402985,0.060949724,20,31.33233831,45,12.34395522,15.5,13,16.1993408,16.40696517,15.37153558,39.68927903,13.80946965,14.2,32.00074906,0.065055309,13.24695077,9.393483146,33.42678161,-15.42364541,58,21,1.797752809,161,4,1.253163119,0,0.5,1,1,3,15.66666667,152.6666667,31.33333333,2.333333333,3,0,50,0,1,0,3,28,64,7,28,5,6,33,1,13,421,192,1,1,0,10,0,30,12,100,0,0,4,9,96,0,2,0,1,0,89,451,0,129,15,24,4.024590164,38,616,27,0
1,0.730538922,107,9,128.3660224,4.518664091,0.073770492,4162.634967,2.723404255,0.046177426,45,22.93219858,48,17.79417021,15.2,12.48683298,-29.92566667,21.65560284,20.28740741,-11.973,13.23416018,14.5,23.25037037,0.049291661,12.69535971,15.34,97.38260606,-15.13701616,55,47,2.5,370,54,1.193900999,0,0.4,1,1,3,7.266666667,24.26666667,3.633333333,1.066666667,30,3,14,0,1,0,9,48,63,36,48,1,15,41,1,9,679,410,0,7,0,8,0,81,5,119,0,6,8,250,96,0,1,77,1,0,108,760,0,487,16,49,5.005988024,18,1366,57,1
1,0.513157895,137,18,130.6094183,4.809896624,0.092307692,1997.126542,2.129310345,0.058056767,70,31.70727969,154,12.87252874,4.6,13.8012345,13.61312261,17.22452107,16.03723724,33.80537538,14.38758758,0.3,33.1993994,0.06235488,13.8012345,10.48441441,30.85531867,-15.43809163,197,70,1.847972973,662,2,1.235987512,0,0.4,1,1,1,16.5,295.8,59.4,3.8,5,5,194,0,1,0,3,31,272,9,31,1,18,100,1,53,1498,771,0,3,0,29,0,32,25,309,0,0,29,19,321,0,0,0,1,0,296,1530,0,408,14,4,4.113157895,105,1958,77,0
1,0.663573086,240,31,77.41129731,5.270993314,0.108391608,3771.536769,2.627906977,0.038357401,129,26.53570451,132,18.44753762,6.8,18.08797729,-30.89004788,26.07058824,24.26004584,-9.045970206,18.98018151,4,28.0262796,0.041220038,18.2044885,15.62669213,61.19694485,-15.32611364,160,131,2.334415584,890,6,1.207987087,0,0.5,1,1,9,19.05882353,75.55555556,12,1.148148148,27,3,81,0,1,0,11,66,249,31,66,14,17,105,1,43,1920,996,3,7,0,28,0,106,20,356,0,11,26,22,299,0,0,0,1,0,308,2026,0,422,19,139,5.292343387,89,2647,155,4
1,0.510585305,311,52,137.0948606,5.326587035,0.126829268,2769.92468,2.24,0.045761757,177,32.33230769,308,15.462,-10.8,17.29093311,-2.188230769,21.85230769,21.19020088,14.73540666,18.19482538,-19.8,35.01185693,0.047191624,17.45151043,13.75452229,37.4066351,-15.41438445,398,181,1.98089172,1416,3,1.238307812,0,0.4,1,1,1,24.30769231,433.75,79,3.375,8,11,315,0,1,0,5,52,581,12,52,4,26,209,1,90,3442,1649,1,6,0,52,0,59,70,647,0,0,59,28,606,0,1,0,1,0,628,3501,0,782,17,20,4.445828144,217,4325,224,0
1,0.564327485,299,40,77.37423481,5.475428304,0.103626943,2896.312363,2.248868778,0.039814718,169,32.8991453,255,16.47165158,-5.5,19.78292783,-8.343187531,25.11633987,24.72961522,7.005196714,20.72976657,-8.7,33.75685257,0.040437346,19.88194302,14.45790532,48.80612466,-15.38454267,287,171,2.019455253,1333,3,1.229312568,0,0.5,1,1,15,28.94444444,120.2173913,22.65217391,1.47826087,23,0,94,0,1,0,12,196,344,27,196,6,18,168,1,80,2187,1454,0,100,3,60,0,734,38,569,1,13,38,27,528,0,2,0,1,0,514,2921,1,703,16,118,4.589181287,202,3794,209,4
1,0.69924812,76,9,123.2404319,4.298912471,0.096774194,2675.308641,2.130952381,0.043281121,25,38.34285714,57,16.9652381,14.3,18.8113883,-1.863571429,23.1047619,24.07461774,11.62272171,19.93976966,12.6,41.68929664,0.041537523,19.1245155,16.11440367,36.03022523,-15.42953028,74,26,1.871559633,90,2,1.232485605,0,0.4,0,1,1,36.33333333,131.75,27.25,1.5,4,1,69,0,1,0,10,9,102,8,9,0,3,28,1,14,546,116,0,1,0,9,0,18,10,113,0,0,7,5,103,0,0,0,1,0,109,564,0,131,16,0,4.345864662,50,709,31,0
