FileName|ReceivedTime|From|To|CC|BCC|Subject|HTMLBody|TextBody
0.txt|12/30/1899 12:00:00 AM|||||||samantha ,please schedule an interview with this candidate , mark mccoy 713 - 369 - 9281for monday january 24 th .i would like him to interview with daren farmer , gary hanks , and yourself . ihave already met with him outsideof the office . he will also need some sort of briefing on benefits if thatis possible . please let me know if thisis ok . also keep in mind that he is currently employed and has limitedflexibility . i believe that the date , january24 th is a good day for him . i will be out of the office on jury duty but idon ' t think that will be a problem . thanks ,pat clynes 35578resume is attached .mmccoy 3617 @ aol . com on 01 / 16 / 2000 07 : 29 : 52 pmto : pat clynes / corp / enron @ enroncc :subject : documentmr . clynes :here is the document you requested . let me know if you have any questions orrequire any additional information .sincerely ,mark mccoy713 / 369 - 9281- mresume . doc###
1.txt|12/30/1899 12:00:00 AM|||||||i will be on vacation from thursday 5 / 10 thru wednesday 5 / 16 . tom acton will be my back up 713 - 571 - 3256 , pager 713 - 707 - 3527 and bob cotten will do the nngb ( black marlin ) and help tom . bob ' s nmbers are 713 - 571 - 3255 , pager 1 - 888 - 813 - 0047 . i will have a pi ? a colada in your name .carlos###
10.txt|12/30/1899 12:00:00 AM|||||||hi daren ,can you please check into whether or not the below deals for the above meterscan be rolled and extended ? if so , can you please perform this for me sothat anita can set up an accounting arrangement for me ?98 - 6719 sitara deal # 166989 flow @ meter began on february 10 th but the dealis not effective until february the 11 th .no new deal # referenced and no evergreen flag . this is on thegathering ( 96026573 ) k which is the onlyk @ the meter .98 - 9676 sitara deal # 151669 deal good from 1 / 1 / 00 - 1 / 31 / 00 but there isflow for all of february 2000 with no k . this is on the 215 k for 1 / 2000production which is the only k @ the meter .thanks- jackie -3 - 9497###
100.txt|12/30/1899 12:00:00 AM|||||||robert ,please make sure that gary gets a copy of the industrial spreadsheet . nobodyhas seen it in a fewmonths . thanks , patfrom : gary a hanks @ ect 06 / 29 / 2000 08 : 59 amto : daren j farmer / hou / ect @ ect , pat clynes / corp / enron @ enroncc :subject : re : industrialsif it is the one i am thinking of it does . i haven ' t seen one for a fewmonths .pat , will you make sure robert sends one to me via email .thanksgary- - - - - - - - - - - - - - - - - - - - - - forwarded by gary a hanks / hou / ect on 06 / 29 / 2000 08 : 54am - - - - - - - - - - - - - - - - - - - - - - - - - - -daren j farmer06 / 28 / 2000 07 : 59 pmto : gary a hanks / hou / ect @ ectcc :subject : re : industrialsgary ,does the workhseet mentioned below assist you with the monthly operationsrelated to the industrial customers ?d- - - - - - - - - - - - - - - - - - - - - - forwarded by daren j farmer / hou / ect on 06 / 28 / 200007 : 57 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -to : pat clynes / corp / enron @ enroncc : daren j farmer / hou / ect @ ect , gary a hanks / hou / ect @ ectsubject : re : industrialsfirst of the month industrials are coming along fine . i will finalize mypathing tomorrow , thursday , and set up buybacks and swings by theend of day friday .the industrial " buyback & deficiency deals " worksheet has captured thenecessary data to help gas control & the on - call scheduler as well asmyself and client services .i will have a preliminary worksheet done by the end of day friday .i am on vacation during the week of july 5 th thru july 10 th .enron north america corp .from : pat clynes @ enron 06 / 28 / 2000 12 : 45 pmto : robert e lloyd / hou / ect @ ectcc : daren j farmer / hou / ect @ ectsubject : re : industrialsrobert ,how do we look on the industrial deadlines ? please let me know . thanks ,patdaren j farmer @ ect06 / 28 / 2000 11 : 19 amto : pat clynes / corp / enron @ enroncc :subject : industrialswhen will the buybacks and swings be set up for july ? i am a littleconcerned with the long weekend coming up . i believe that we agreed thatthese would be set up by the 3 rd work day , which would be friday the 7 th .( six days of flow . ) i definitely don ' t think that we should any later . itwould be great if this could be handled sooner , miimizing our economic impact .additionally , we need to get the industrial spreadsheet up and runningagain . this report is very beneficial to gas control , industrial traders andschedulers on call .let me know what you think .d###
1000.txt|12/30/1899 12:00:00 AM|||||||we ' ve talked this over at this end and agree we should be taking the following approach :remind brazos that under exhibit 7 . 12 , page 2 of the ppa , brazos is precluded on any gas day from taking a greater volume of gas than the plant ' s mdq ( 45 , 000 dth / d ) less the amount needed to satisfy its generation request .the partnership will accept total gas nominations as generation first , gas for resale second . if brazos ' electric nominations by hour would , given ambient conditions , cause us to use at or above the plant ' s mdq under its contracts with apache / williams ( 45 , 000 dth / d ) , gas nominations will be zero . this needs to be handled between the operators . i ' ve emphasized " at or above " on purpose ; if an all electric nomination would cause brazos to burn in excess of 45 , 000 dth per day , we will honor that request ( we ' re looking at this with the attorneys and may choose at a future date to change the way this has been administered in the past , as this situation currently causes the partnership to incur an economic loss ) .after being notified of the need for a schedule adjustment , brazos is free to reset its hourly electric nominations to allow for gas deliveries to the extent it desires ( provided they ' re still capped at 45 , 000 dth / d if they take gas ) . whenever they go this route , however , we need to hold them to the electric nomination ( i . e . , they should get a courtesy call from an operator each and every time they go over the nominated electricity amount ) . remind brazos that under the ppa , they will be billed for penalties associated with not adhering to their electric nominations on days on which they ' ve elected to take gas .if the issue of precedent comes up , remind them that we ' re operating in a new territory and that electric - gas nominations have only been made over the past 7 months ; it wasn ' t until recently that we ' ve been able to attribute imbalance penalties to brazos , which has caused us to look at the scheduling provisions of the agreement much more closely .as a show of good faith , we should also make an attempt to track gas consumed / nominated for redelivery and advise them toward the end of the month of opportunities to up their gas nominations .hope this helps to clarify where we are .rh- - - - - original message - - - - -from : " ken riesz " @ enron [ mailto : imceanotes - + 22 ken + 20 riesz + 22 + 20 + 3 cken + 2 eriesz + 40 naes + 2 ecom + 3 e + 40 enron @ enron . com ]sent : friday , june 15 , 2001 4 : 27 pmto : mazowita , mike ; hill , garrick ; ward , charlessubject : gas nom ' schuck ,i just wanted to make sure everyone has the same undertstanding of the gasnominations and usage issue . today with this most recent daily nominationrevision from brazos , brazos ( waco ) now understands that we are going to holdthem to 45 , 000 mbtu ' s when they are requesting electrical generation and gasenergy . however , i want everone of us to understand that a nomination frombrazos for a 6312 mwh , s ( 263 / hr ) , will require the plant to utilize 47 , 500 to48 , 500 mbtu ' s at this ambient temperature to deliver the requested energy .to allow brazos any gas the total delivered electrical energy would have tobe something less than 258 mw loading per hour .regards , ken###
1001.txt|12/30/1899 12:00:00 AM|||||||the confirmed nomination for barrett resources has been zeroed and a like number added to seneca .bob- - - - - - - - - - - - - - - - - - - - - - forwarded by robert cotten / hou / ect on 05 / 01 / 2001 01 : 18 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -enron north america corp . from : robert cotten 04 / 26 / 2001 11 : 48 amto : vance l taylor / enron @ enronxgate @ enroncc : george weissman / hou / ect @ ect , daren j farmer / hou / ect @ enron , melissa graves / enron @ enronxgate @ enron , susan smith / hou / ect @ enronsubject : re : may wellhead " spot " purchases - requestvance ,as we discussed yesterday , i will zero the confirmed column in pops for barrett and increase the same for seneca .bobfrom : vance l taylor / enron @ enronxgate on 04 / 26 / 2001 11 : 42 amto : robert cotten / hou / ect @ ectcc : george weissman / hou / ect @ ect , daren j farmer / hou / ect @ enron , melissa graves / enron @ enronxgate , susan smith / hou / ect @ enronsubject : re : may wellhead " spot " purchases - requestbob ,i ' m still concern about april ' s nom ; if we don ' t take it to zero , than we could have the possibility of the allocations group adding volumes to barrett ' s april deal . this would be incorrect .vlt- - - - - original message - - - - -from : cotten , robertsent : thursday , april 26 , 2001 9 : 27 amto : taylor , vance l .cc : weissman , george ; daren j farmer / hou / ect @ enron ; graves , melissa ; susan smith / hou / ect @ enronsubject : re : may wellhead " spot " purchases - requestvance ,based on the information below , nominations are being revised effective may 1 , 2001 :counterparty meter # orig . nom rev . nombarrett resources 0435 1 , 536 0seneca resources 0435 3 , 073 4 , 609total 4 , 609 4 , 609bobfrom : vance l taylor / enron @ enronxgate on 04 / 25 / 2001 08 : 42 amto : robert cotten / hou / ect @ ectcc : george weissman / hou / ect @ ect , susan smith / enron @ enronxgate , melissa graves / enron @ enronxgatesubject : re : may wellhead " spot " purchases - requestbob ,hplc continues to purchase gas from both ocean and seneca on a term basis ; firm tickets were submitted for april origination beginning with the month of april . as for as barrett , they are selling their gas under a joa with seneca ; therefore , 100 % of barrett ' s production is being paid to seneca . consequently , you should see tickets in sitara for both counterparties .let me know is you can ' t .vltx 36353- - - - - original message - - - - -from : cotten , robertsent : tuesday , april 24 , 2001 6 : 20 pmto : taylor , vance l .cc : weissman , georgesubject : re : may wellhead " spot " purchases - requestvance ,are we still purchasing gas at meter 435 from barrett resources , ocean energy and seneca resources ? they were on george ' s spreadsheet but they are not termed up . the only deals termed up are mariner , st . mary land , walter oil & gas and the meridian resource .bobfrom : vance l taylor / enron @ enronxgate on 04 / 24 / 2001 04 : 25 pmto : robert cotten / hou / ect @ ectcc : janie aguayo / hou / ect @ ect , lisa hesse / hou / ect @ ect , julie meyers / hou / ect @ ect , cynthia hakemack / hou / ect @ ect , donald p reinhardt / enron @ enronxgate , susan smith / enron @ enronxgate , melissa graves / enron @ enronxgate , george weissman / hou / ect @ ectsubject : may wellhead " spot " purchases - requestbob ,hplc will be purchasing wellhead gas from the producers listed below for the production month of may , 2001 . this production will be purchased on a " spot " basis and deal tickets should be created and entered into sitara based on the following information :counterparty meter volume priceapache corporation 0435 1409 mmbtu / d 100 % if / hsc less $ 0 . 10whiting petroleum corp 6523 113 mmbtu / d 85 % if / hscel paso merchant energy , lp 5923 622 mmbtu / d 100 % if / hsc less $ 0 . 26el paso merchant energy , lp 5848 203 mmbtu / d 85 % if / hsc swift energy 2630 21 mmbtu / d 100 % if / hsc less $ 1 . 38duke energy trading & marketing 6347 147 mmbtu / d 85 % if / hschesco gathering oil co . 6063 289 mmbtu / d 85 % if / hscembassy natural gas inc . 6598 lmmbtu / d 85 % if / hscstone energy 9696 2745 mmbtu / d 100 % if / hsc less $ 0 . 20the houston exploration 9696 3407 mmbtu / d 100 % if / hsc less $ 0 . 20amerada hess ( hess energy svcs ) 0435 1104 mmbtu / d 100 % if / hsc less $ 0 . 14crosstex energy services , ltd . 0435 656 mmbtu / d 100 % if / hsc less $ 0 . 12tri - union development 0435 149 mmbtu / d 100 % if / hsc less $ 0 . 055ranger oil company 9871 200 mmbtu / d 85 % if / hsc if 300 / dthese are producer svcs . deals and should be tracked in the im wellhead portfolio . . . attached to the gathering contract .additionally , if at all possible , please do not confirm the apache and crosstex deals as we expect to receive term firm contracts in the very near future .thanks ,vltx 3 - 6353###
1002.txt|12/30/1899 12:00:00 AM|||||||the methanol plant is still on target to begin making spec methanol onfriday , july 28 . the plant may start taking some natural gas late tuesday ,july 25 .because of dredging at the oxy dock , no barges can be loaded july 31 toaugust 3 .###
1003.txt|12/30/1899 12:00:00 AM|||||||this means of communication is used because of trading hour .fyi . . . only :i have some links for february to true - up today and will finalize them bythe end of today .i will review january industrial activity { alloc . , links / buybacks , ect . } bythe end of tomorrow , tuesday .i will be taking vacation this friday , feb 11 th and monday , feb 14 th .###
1004.txt|12/30/1899 12:00:00 AM|||||||e : mail i sent out last week . thanks , diane- - - - - - - - - - - - - - - - - - - - - - forwarded by diane h cook / hou / ect on 09 / 12 / 2000 11 : 17am - - - - - - - - - - - - - - - - - - - - - - - - - - -diane h cook09 / 07 / 2000 04 : 53 pmto : dutch quigley / hou / ect @ ect , jeffrey c gossett / hou / ect @ ect , kamkeiser / hou / ect @ ect , william kelly / hou / ect @ ect , darron c giron / hou / ect @ ect ,steve jackson / hou / ect @ ect , daren j farmer / hou / ect @ ect , davidbaumbach / hou / ect @ ectcc :subject : 2001 budgetsi will be working you each of you to create your 2001 budget .the first draft of the 2001 budget is due on september 18 th .i will be doing most of the work , i will just need a littlebit of information from you !for starters , i need your staffing requirements for 2001 . attached is aworksheetfor you to enter what your approved staffing level is today , and any staffadds youthink you will need by the end of next year .be sure to add the business justification for any staff adds .first fill in your approved staff for sept 2000 , then just change any monthwith a staffadd , it will populate accross the rest of the months . type your justifcationat thebottom of the form .please turn in your 2001 staffing by september 11 , end of business .we will discuss your staffing requirements at steve ' s tuesday staff meeting .thanks !###
1005.txt|12/30/1899 12:00:00 AM|||||||please revise the natural gas nomination for the mtbe plant for december 2000as follows :10 , 000 mmbtu for the first 15 days of the month2 , 000 mmbut for the last half of the month- - - - - - - - - - - - - - - - - - - - - - forwarded by maritta mullet / gpgfin / enron on 11 / 27 / 200005 : 01 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -maritta mullet11 / 27 / 2000 04 : 44 pmto : david bush / ecf / enron @ enron , mark diedrich / gpgfin / enron @ enron , steven melliott / hou / ect @ ect , daren j farmer / hou / ect @ ect , paul fox / ecf / enron @ enron ,david m johnson / ecf / enron @ enron , robert e lee / hou / ect @ ect , anitaluong / hou / ect @ ect , gregg lenart / hou / ect @ ect , thomas meers / gpgfin / enron @ enron ,michael mitcham / gpgfin / enron @ enron , john l nowlan / hou / ect @ ect , lee lpapayoti / hou / ect @ ect , james prentice / gpgfin / enron @ enron , kerryroper / gpgfin / enron @ enron , sally shuler / gpgfin / enron @ enroncc :subject : natural gas nomination for december 2000enron methanol nominates the following natural gas requirements for themethanol plant for december 2000 :33 , 000 mmbtu per dayegpfc nominates the following natural gas requirements for the mtbe plant atmorgan ' s point for december 2000 :12 , 000 mmbtu per day for the first 15 days of the month . none for the lasthalf of the month . mtbe plant will be down after december 15 .###
