spam/ham,VocabularyRichness,Legomena,Dislegomena,YuleK,Entropy,Sichel,Honore,WordLengthWithoutStopwords,InverseFI_WithoutStopwords,ComplexWordsWithoutStopwords,FISimpleWithoutStopwords,SimpleWordsWithoutStopwords,FKRI_WithoutStopwords,FORCAST_WithoutStopwords,SMOG_WithoutStopWords,FRESWithoutStopwords,FogIndexWithoutStopWords,FogIndex,FRES,SMOG-I,FORCAST,FISimple,InverseFI,SMOG,FKRI,ARI,CLI,SimpleWords,ComplexWords,WordLength,TFISFWithoutStopwords,MaxLongestRepeatingCharacter,MinCharacterDiversity,UniqueHTMLAnchor,RatioNonAlphaNumToAll,RatioDigitToAll,RatioUpperToAll,RatioUpperLower,AvgWordsinSentences,AvgCharinParagraphs,AvgWordsinParagraphs,AvgSentenceinParagraphs,CountofParagraphs,SpamWords,FunctionWords,HTMLAnchor,HTMLNotAnchor,HTMLImage,LongestCapital,CountCapWord,SenBegLower,CountLines,SenBegUpper,AllCountDigitWord,CountSentence,SingleCharWords,HTMLTags,DuplicateWords,CountLowerChars,TFISF,SingleDigitWords,AllCountCapWord,QuestionMark,SingleLetterWords,ExclamationMark,CountUpperChars,Comma,CountWord,SemiColon,Colon,SingleQuote,Period,Space,Tab,Dollar,Ellipsis,WordsMinChar,MultipleExclamationMarks,AlphaOnly,AlphaChars,MultipleQuestionMarks,SpecialChars,WordsMaxChar,CountDigitChars,WordsAVGChar,CountWordLess3Char,CountChars,CountWordLonger6Char,AlphaNumeric
1,1,17,0,0,2.833213344,0,0,2.071428571,0.070564516,3,34.17142857,10,12.75285714,19,12.48683298,17.38214286,14.17142857,14.17142857,17.38214286,13.0166668,19,34.17142857,0.070564516,12.48683298,12.75285714,44.8,-15.2836,10,3,2.071428571,0,3,1.296839555,0,0,0,0,0,14,47.5,7,1,2,0,0,0,1,0,0,0,14,7,0,0,1,1,1,0,95,0,0,0,0,0,0,0,0,14,0,0,0,3,16,0,0,0,2,0,14,95,0,23,11,0,5.588235294,1,130,8,0
1,0.707692308,85,3,274.556213,4.102045997,0.032608696,6397.330992,1.367346939,0.226334094,4,36.25498199,43,1.531164466,15.7,5.656844657,88.23186074,4.418247299,3.88065202,92.81676116,5.892988977,12.4,38.5794472,0.257688655,5.656844657,1.365577605,17.3697678,-15.44823462,76,4,1.289156627,200,2,1.316074013,0,0,1,0,0,5.235294118,39.6,8.8,2.4,10,1,29,0,1,0,0,0,83,16,0,6,17,41,1,3,379,303,0,0,0,1,0,0,14,89,0,3,0,16,118,0,0,0,1,0,83,379,0,161,9,20,3.069230769,19,590,9,0
1,1,1,0,0,0,0,0,0,NaN,0,0,0,0,20,3,0,0,0,0,3.1219,20,0,NaN,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0
1,1,7,0,0,1.945910149,0,0,1.5,1.25,0,40.8,2,2.89,19.8,3,77.905,0.8,2.4,102.045,3.1219,19.4,42.4,0.416666667,3,0.516666667,12.97,-15.45733333,6,0,1.166666667,0,1,1.379729661,0,0,0,0,0,6,20,6,1,1,1,3,0,1,0,0,0,6,6,0,0,1,2,1,0,20,0,0,0,1,1,0,0,0,6,0,0,0,0,6,0,0,0,1,0,6,20,0,10,5,0,2.857142857,3,40,0,0
1,0.52688172,179,30,117.3777315,5.026657538,0.12244898,2279.998734,2.063218391,0.07302456,52,27.25724138,111,9.838227011,8.9,9.244997998,27.87147414,13.69402299,9.643687316,73.70367146,9.697764791,-3.5,31.11861357,0.103694776,9.304760106,4.070571534,28.50728723,-15.44363962,235,53,1.471976401,826,3,1.258925412,0,0.4,1,0.6,0,9.125,22.4,4.8,1.346666667,75,10,128,0,1,0,3,0,339,81,0,26,40,117,1,53,1623,1221,5,0,0,21,9,0,8,372,0,7,2,36,388,0,1,0,1,0,339,1623,0,491,16,71,3.71827957,157,2345,93,0
1,0.639344262,31,2,257.9951626,3.429676803,0.051282051,2004.051009,1.529411765,0.269328264,1,34.30117647,14,3.549058824,18.6,5.449489743,73.99576471,3.712941176,3.668571429,86.33671429,5.676717802,17.5,37.95428571,0.27258567,5.449489743,2.374285714,29.112,-15.3237,25,1,1.357142857,75,5,1.320469248,0,0.4,1,0.6,0,6.8,15.66666667,3.777777778,1.333333333,9,0,8,0,1,0,3,0,28,14,0,6,5,14,1,2,127,90,0,0,1,0,0,0,0,44,0,1,0,9,55,0,5,0,2,0,28,127,0,88,9,14,3.131147541,17,255,7,0
1,0.517021277,166,40,100.3168855,5.064144146,0.164609053,1941.706552,1.958762887,0.078009529,52,29.93234884,135,8.946375035,6.5,9.493239728,35.8017679,12.81894678,9.685789992,72.39288213,9.894349036,-6.4,33.43929139,0.103244031,9.493239728,4.5786971,24.7951812,-15.44767308,264,52,1.473389356,838,3,1.258925412,0,0.4,1,0.6,0,10.21621622,21.27160494,4.604938272,1.259259259,81,9,120,0,1,0,3,0,357,87,0,21,37,116,1,66,1683,1232,7,0,0,26,11,0,8,385,0,4,1,31,387,0,2,0,1,0,357,1683,0,482,16,54,3.770212766,159,2391,96,0
1,0.057034221,107,30,401.5967333,3.851892079,0.133333333,1578.852502,1.146902655,0.133568966,106,32.45432067,1164,1.281392504,-96.4,7.835530265,97.15685157,7.486769044,7.880582761,100.6271629,8.165358066,-111.6,32.90643591,0.126894169,7.835530265,0.984444005,35.88035535,-15.38484675,1316,106,1.084798345,2053,6,1.238307812,0,0.142857143,1,0,0,17.02941176,34.25490196,9.007843137,1.454901961,255,11,174,0,1,0,0,0,1934,260,0,382,136,1880,1,107,8073,2358,163,0,1,91,9,0,2,2318,180,266,0,129,3693,0,0,0,1,0,1934,8073,0,5322,16,748,2.237008872,989,14661,119,0
1,0.588832487,75,29,110.7990415,4.496795506,0.25,1494.760079,2.074074074,0.065990084,26,27.99329806,52,10.3326455,14.8,10.46420027,25.49583333,15.15379189,11.23849444,69.09396707,11.05536299,7.5,34.71154833,0.08897989,10.60638829,5.415496151,23.08812571,-15.45887416,125,27,1.48502994,246,2,1.270981615,0,0,1,0,0,12.21428571,44.83333333,9.444444444,1.277777778,18,4,74,0,1,0,0,0,167,23,0,4,14,29,1,37,806,417,2,0,0,2,0,0,8,171,0,0,2,13,178,0,0,0,1,0,167,806,0,206,13,7,4.126903553,70,1063,44,0
1,0.866666667,22,4,88.88888889,3.216358134,0.153846154,2210.778298,1.75,0.110294118,2,32.4,9,6.815,19.1,8.477225575,52.695,9.066666667,9.815384615,73.24769231,10.1185567,17.8,39.04615385,0.101880878,9.708203932,5.492307692,18.32454545,-15.46506294,22,3,1.423076923,14,2,1.320469248,0,0,0,0,0,13,22.4,5.2,1,5,2,10,0,1,0,0,0,26,10,0,0,2,5,1,3,112,25,0,0,0,2,0,0,0,26,0,2,0,1,24,0,0,0,1,0,26,112,0,30,10,0,3.733333333,10,160,5,0
