spam/ham,VocabularyRichness,Legomena,Dislegomena,YuleK,Entropy,Sichel,Honore,WordLengthWithoutStopwords,InverseFI_WithoutStopwords,ComplexWordsWithoutStopwords,FISimpleWithoutStopwords,SimpleWordsWithoutStopwords,FKRI_WithoutStopwords,FORCAST_WithoutStopwords,SMOG_WithoutStopWords,FRESWithoutStopwords,FogIndexWithoutStopWords,FogIndex,FRES,SMOG-I,FORCAST,FISimple,InverseFI,SMOG,FKRI,ARI,CLI,SimpleWords,ComplexWords,WordLength,TFISFWithoutStopwords,MaxLongestRepeatingCharacter,MinCharacterDiversity,UniqueHTMLAnchor,RatioNonAlphaNumToAll,RatioDigitToAll,RatioUpperToAll,RatioUpperLower,AvgWordsinSentences,AvgCharinParagraphs,AvgWordsinParagraphs,AvgSentenceinParagraphs,CountofParagraphs,SpamWords,FunctionWords,HTMLAnchor,HTMLNotAnchor,HTMLImage,LongestCapital,CountCapWord,SenBegLower,CountLines,SenBegUpper,AllCountDigitWord,CountSentence,SingleCharWords,HTMLTags,DuplicateWords,CountLowerChars,TFISF,SingleDigitWords,AllCountCapWord,QuestionMark,SingleLetterWords,ExclamationMark,CountUpperChars,Comma,CountWord,SemiColon,Colon,SingleQuote,Period,Space,Tab,Dollar,Ellipsis,WordsMinChar,MultipleExclamationMarks,AlphaOnly,AlphaChars,MultipleQuestionMarks,SpecialChars,WordsMaxChar,CountDigitChars,WordsAVGChar,CountWordLess3Char,CountChars,CountWordLonger6Char,AlphaNumeric
0,0.570048309,73,29,107.3537305,4.520773898,0.245762712,1398.357372,1.841269841,0.080168991,17,28.34666667,42,7.228984127,15.8,8.830951895,46.80057143,12.47365079,9.059779249,84.0040883,9.551383805,8.5,34.49024283,0.110377965,9.164414003,3.107284768,22.13115942,-15.46088684,115,19,1.331125828,265,3,1.296839555,0,0,1,0,0,11.13333333,28.66666667,6.875,1.375,24,1,73,0,1,0,0,0,151,28,0,16,15,47,1,39,645,460,0,0,0,8,0,0,7,167,0,6,1,14,182,0,0,0,1,0,151,645,0,224,11,47,3.342995169,79,970,30,0
0,0.678571429,42,11,175.7369615,3.842597145,0.192982456,1683.710384,1.631578947,0.131883387,3,32.84561404,15,4.637631579,18.5,6.872983346,65.58925439,7.58245614,5.666666667,99.5825,7.16142163,16.3,35.88888889,0.176470588,6.872983346,0.712777778,23.66144144,-15.4168,37,3,1.177777778,90,3,1.296839555,0,0.4,1,0.6,0,10.33333333,107.5,31,3,2,1,25,0,1,0,3,0,45,6,0,17,6,27,1,11,168,132,3,0,1,5,0,0,2,64,0,0,1,4,81,0,0,0,1,0,45,168,0,105,9,47,2.678571429,34,330,3,0
0,0.533742331,53,17,131.7324702,4.219571492,0.195402299,1303.400787,1.891891892,0.05887501,14,24.5527027,21,7.758074324,17.9,10.24568837,42.08657095,16.98513514,10.60575221,90.67865597,10.67915297,12.1,33.61460177,0.094288456,10.24568837,2.463019912,26.73218354,-15.45271805,79,14,1.203539823,137,3,1.291549665,0,0.4,1,0.6,0,16.75,34.06666667,8.933333333,1.2,15,6,66,0,1,0,3,0,113,19,0,21,8,36,1,27,449,252,5,0,2,5,0,0,2,136,0,0,0,5,147,0,0,0,1,0,113,449,0,178,11,62,3.196319018,73,725,14,0
0,0.302795031,105,37,334.8636241,4.426585428,0.18974359,1401.334724,1.699481865,0.108377243,29,34.71925734,152,6.93388601,4.8,9.020797289,54.89654253,9.227029361,9.696598639,83.85921769,9.61452264,-10.3,37.45170068,0.103128946,9.224949799,4.174056122,26.0444802,-15.42624554,303,31,1.257653061,569,4,1.291549665,0,0.4,1,0.6,0,17.75,28.51666667,7.066666667,1.15,60,4,160,0,1,0,3,0,392,64,0,34,24,244,1,80,1642,954,3,0,3,28,0,0,14,428,0,27,2,20,583,0,0,0,1,0,392,1642,0,803,12,77,2.684782609,223,2648,60,0
0,0.417974322,186,46,101.8312946,5.121292469,0.156996587,1794.28487,2.047619048,0.054133605,80,27.99662338,135,11.20440476,6.5,13.95445115,21.88317857,18.47281385,16.99698324,59.85040642,14.82954596,-17.8,38.89642458,0.05883397,14.22497216,8.48118622,29.96142857,-15.44709378,378,84,1.415270019,747,3,1.258925412,0,0.4,1,0.6,0,28.6,104.375,23.83333333,1.458333333,24,7,291,0,1,0,3,0,537,28,0,35,20,140,1,95,2430,1255,8,0,0,24,0,0,34,588,4,7,14,19,676,0,0,0,1,0,537,2430,0,807,14,75,3.687589158,257,3366,106,0
0,0.270618557,178,51,181.8737379,4.855838022,0.161904762,1623.196754,1.723502304,0.078579016,81,34.75369362,320,8.529145371,-12,11.5811633,47.67791719,12.72604385,13.1643536,68.90441725,12.23629002,-29,37.18802223,0.075962712,11.73862898,6.539370629,34.63220161,-15.37980452,490,84,1.384615385,1249,3,1.258925412,0,0.4,1,0.6,0,23.87878788,46.76712329,10.67123288,1.178082192,73,4,217,0,1,0,3,0,676,78,0,112,33,416,1,125,3140,1694,18,0,1,40,0,0,54,790,6,40,7,34,1092,0,8,0,1,0,676,3140,0,1472,14,294,2.958762887,363,5060,144,0
0,0.764705882,31,4,123.029604,3.564599654,0.102564103,1916.764996,1.80952381,0.117449664,3,37.08571429,18,8.102380952,18.2,8.477225575,46.64428571,8.514285714,8.393495935,73.28528455,8.834646275,16.6,38.63739837,0.119139868,8.477225575,5.522682927,19.83872549,-15.45754204,34,3,1.414634146,27,2,1.296839555,0,0,1,0,0,15,37.2,9,1.2,5,0,16,0,1,0,0,0,41,9,0,4,3,7,1,6,179,46,1,0,0,0,0,0,3,45,0,0,0,3,46,0,0,0,1,0,41,179,0,55,8,7,3.647058824,20,257,6,0
0,0.683544304,40,9,147.4122737,3.819938399,0.166666667,1685.358457,1.884615385,0.071219869,8,24.81025641,15,7.623461538,18.5,9.32455532,42.99820513,14.04102564,9.333333333,76.835,9.718411199,15.4,34.66666667,0.107142857,9.32455532,4.116666667,21.41442029,-15.4652287,46,8,1.416666667,75,3,1.291549665,0,0.4,1,0.6,0,10.33333333,37.57142857,8.714285714,1.142857143,7,2,26,0,1,0,3,0,60,11,0,2,6,17,1,12,261,125,0,0,0,3,0,0,5,64,0,1,0,9,74,0,0,0,1,0,60,261,0,96,13,4,3.481012658,28,381,12,0
0,0.376436782,83,21,325.3402035,4.173203781,0.160305344,1597.163593,1.53271028,0.144276147,9,39.08068536,95,5.583481308,10.5,7.74341649,68.11729361,6.931152648,8.918042813,88.66097095,8.069283399,1.8,40.66116208,0.112132227,7.74341649,4.236009174,23.60042125,-15.42922474,182,9,1.178899083,261,4,1.282088854,0,0,1,0,0,19.66666667,32.72413793,8.137931034,1.103448276,29,1,92,0,1,0,0,0,218,33,0,18,12,127,1,41,897,431,0,0,0,15,2,0,14,236,0,6,1,10,319,0,0,0,1,0,218,897,0,434,13,52,2.727011494,116,1447,33,0
0,0.294617564,60,20,443.4671653,3.799696146,0.192307692,1386.619723,1.635714286,0.039179104,24,49.52380952,108,17.75142857,9.2,18.49193338,21.08690476,25.52380952,30.81512027,26.94472509,19.27998652,6,54.73264605,0.032451601,18.49193338,18.54608247,51.32469048,-15.36109956,140,24,1.350515464,139,7,1.296839555,0,0,1,0,0,73,39.54166667,9.125,1.083333333,24,1,46,0,1,0,0,0,194,28,0,25,3,142,1,38,884,176,1,0,0,7,0,0,19,219,0,8,1,3,329,0,0,0,1,0,194,884,0,466,12,65,2.688385269,99,1469,31,0
