"(Source)","completion","prompt"
"RussianPrompts","0","Тема: Рождественские снимки на дереве"
"RussianPrompts","0","Тема: Огромные ресурсы, ин. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 500 . . . . . . . . . . . . . . . . . . . . . . . . .Карлос ожидает от 9, 500 до 10, 000 брутто на завтра.68% валового производства .Джордж х 3 - 6992 - - - - - - - - - - - - - - - - - - - - отправлен Джорджом Вайссманом / У/Экт 12 / 13 / 99 10 : 16 - - - - - - - - - - - - - - - осмелился / - 10 / 99 10 : 38 : 00:00 : arlos jrodriguez / ou / ect @ ec: gerge Weissman / - - - - - - - -  - - - - - - - - - - - , melissa dragers / - - - - - - - - - - - atwarn j farmaner 12 / 10 / 99 10 : : 38 : 00: 00: 00: 00: 00: 00:00, чтобы вызвать Линду и устроить все.Я собираюсь оценить 4, 500 завтра, с 2, 000 прибавкой каждый следующий день, основываясь на моих беседах с Биллом Фишером в Бмаре.d. - - - - - - - - - - - - - - - - - - - - - - - Эрон северная америка корпорация от: Джорджа Вейсмана 12 / 10 / 99 10 : 00 : ort j фермер / ou / ect @ ect - - - - - - - - - - - - - - - - Enron North America Corp . от: gerge Weissman 12 / 10 / 99 10 : 00 : 00 : : orwn j / ou / ect @ ect cc: gary bryan / y - - - - - - - - - - - - - - - - - - - - - - - - - - Enron North America Corp . - ect субъект: обширные ресурсы, inc. Darrena , как представляется, номинация из огромных ресурсов, инк. для большого островного блока - 1 # 2 (ранее, ошибочно названная как # 1 )Глазар ожидает, что колодец начнет производство завтра.Я сказал Линде Харрис, что мы дадим ей номер телефона в системе контроля за газом, чтобы она могла сообщить о повороте завтра.Номера Линды, для записи, 281 .584 .3359 голос и 713 .312. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .Факс: 1689Вы не могли бы увидеть, что кто - то связывается с Линдой и советует ей, как представлять будущие кандидатуры по электронной почте, факсу или голосу?Спасибо.Спасибо."
"RussianPrompts","0","Тема: &quot; entex Transistion &quot; , цель которого состоит в том, чтобы подвести итоги вчерашнего стартового совещания с участием представителей коммерческого и объемного манжирования по счету &quot; entex &quot; : эффективный януар 2000 , thu nguyen (x 37159 ) в группе манжирования объема, возьмет на себя ответственность за распределение контрактов entex .Говард и тху начали некоторое обучение в этом месяце и продолжат перевод счета в течение следующих нескольких месяцев.ENTEx будет главным счетом Thu, особенно в течение первых нескольких месяцев, когда она узнает о процессе выделения средств и контрактах .Говард продолжит свои ответные действия в группе и будет готов к вопросам или в качестве подкрепления, если потребуется (спасибо Говарду за всю вашу усердную работу в этом году ).. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .На начальных этапах транзисции я хотел бы организовать команду ENTEx., группа (члены от штаб-квартиры до задней конторы) соберется в какой-то момент месяца для обсуждения любых вопросов, связанных с графиком, ассигнованиями, расчетами, контрактами, сделками и т.д.Это, как мы надеемся, даст каждому из вас возможность не только выявить и решить вопросы до завершения процесса, но и учиться друг у друга в своих соответствующих областях и дать возможность новичкам быстро подняться и на этот счет.Я хотел бы призвать всех присутствовать на этих заседаниях первоначально, поскольку я считаю, что это имеет решающее значение для успеха счета ENTEx.Если у кого-то есть какие-то вопросы или проблемы, пожалуйста, позвоните мне или заходите.заранее спасибо всем за сотрудничество.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
"RussianPrompts","0","Тема: 7 номов - - - - - - - - - - - - - - - - - - - - - - отправлены ами чокши/корпусом/энроном 01 / 06 / 2000 10 : 49 м - - - - - - - - - - - - - - - - - - - - трой - _ бенуит @ опорная энергия.com 1 / 06 / 2000 10 : 26 : 49 : : ami chokshi / Corp / Enron @ enron cc : тема : 7 ном (см. прилагаемый файл : egmnom - jan . xls ) - egmnom - jan . xls ."
"RussianPrompts","0","Тема: Си - синий дельфиновый трубопровод начинается 1 / 9 / 99 в течение 30 дней (в конце концов будет называться ) покупка у шпиннакера на острове Гальфестон 250 л на Гд Хск - .08 плюс tsp и деги (.138 ) транспортируется по трубопроводу синего дельфина (агенство отдано на энрон за джинс по bdpl) $.123 транспортных средства (контракт бдпл - 064 гтса) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .015 дегэ (контракт mei - 056 - да) продано для доу на входе в завод в графстве Брэвория в Гд Хск - .07 синий дельфин не требует номинаций .То, что производится, выделяется на дов.В настоящее время объем производства составляет около 208 мм btu / d.(Janene shipp 580 - 221 - 1200 ) Синие дельфины контактируют с томами - Ken davenport 713 - 227 - 7660 xl 37 транспортировка - Мэри Джин Кринке 713 - 227 - 7660 xl 55 ami 3 - 9272"
"RussianPrompts","0","Тема: re : re: re request for application report list (список заявок на представление заявлений) представляет собой последующую деятельность в связи с предыдущей электронной почтой, которую я направил в отношении информации, касающейся истории кесарева сеса.15 / 13. Заполните таблицу по каждой области и отправьте обратно ко мне.Я объединю наши ответы с точки зрения логистики.Пусть они добавят все, что им нужно, и если они попробуют, мы сможем пересмотреть их позже.Спасибо - Боб - - - - - - - - - - - - - - - - - - - - - от: bryce baxter 01 / 05 / - - 12 - от: 00 ч. 00 м. до: heri thomas / éct : 24 00 - - - - - - - - - - - - - - - - - - - - - - . - от: bryce baxter 01 / 05 / 2000 12 : : helus thomas / ect : ect , robert superty / ou - - / ect @ ect ect / heat / hect man / - - - - - . - ~ ~ ~ ~ ~ ~ you ~ ~ ~ ~ heat here fromonson / ect / echen / ecdocon / dec docen / docenges / / / / ecent / docance / / / / an dan an an an / / / ecan an / / / / / / an an / / ect / / / / an / / / / / an / / an / / / / / / an / / / / ect / / / / an / / / / / / an / / / / an / / / / / an d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d / / / / / / / / / / d d d d d d d d d d d d d d d d d dcom субъект: re : re : re: re re request for application report list в прошлом месяце Ричард Берчфилд прислал нам следующий список отчетов, которые имеются в системах Ces .Она работает над тем, чтобы получить электронную копию требуемых отчетов и обеспечить доступ к ним в режиме онлайн через электронную систему управления документооборотом.Хотя эна не несет ответственности за бизнес до 2000 года, по мере возникновения проблем нам, возможно, потребуется помощь в проведении исследований.Чтобы запустить мяч, нам нужно составить список отчетов, которые нам нужны.Пожалуйста, заполните прилагаемую таблицу и перечислите любые отчеты, которые вам понадобятся, и верните их мне к пятнице, 15 / 2000 .Я включил образцы того, как заполнить это, и если у вас есть какие-нибудь вопросы, пожалуйста, позвоните мне.Если вы не уверены, какие отчеты вам понадобятся на основе имен, пожалуйста, свяжитесь с любыми сотрудниками, которых вы наняли, или с сотрудником, работающим на переходном этапе, чтобы получить разъяснения.Если вам нужны образцы этих отчетов, пожалуйста, позвольте моему ассистенту, Пэм-камере, и она будет координировать распечатку отчёта для вас.Кроме того, мне понадобится список пользователей и их локонидов, которым понадобится доступ к этим данным.Пожалуйста, отправьте мне это к 15-й.Спасибо, Брайс Ричард Берчфилд 12 / 01 / 99 04 : 58 до : sheri thomas / ou / ect @ ect , robert supperty / ou / ect @ ect , brent a цена / y / éct @ ect , mary thomas / ou / ect @ éct , mary solmonsonson / ou / ect @ ect , thommy j yanovsky / ou / ect @ ect , bob klein / ou / ect @ ect , bryce baxter / ou at ect @ ect , ect , gerganne hodges / u et @ ect ect : тема: re: : re: re: просьба о представлении списка заявок на все, приложенный список, приложен ниже приложении на ces.Ричард - - - - - - - - - - - - - - - - - - - отправлен Ричардом Берчфилдом / Вы / экт 12 / 01 / 99 03 : 48 - - - - - - - - - - - - - - - - - - - - - - - цитон @., com 12 / 01 / 99 01 : 25 : 37 до : Ричард Берчфилд / ou / ect @ ect cc : « - * peeples , jeff , ~ licarione , linda : re : re: список запросов на представление заявления см. в приложении к отчету об альтра-гмах .Пожалуйста, передайте любые дополнительные вопросы, касающиеся альтра-гимов, линде-ликариону (713 - 693 - 2845) или джефф-пиплам (713 - 693 - 2597).Спасибо.Linda licarione 12 / 01 / 99 01 : 04 ч. 00 м. до : глиняный детон / ces / columbiagas @ columbiagas cc : тема: список заявок на получение отчетов прилагается из 210 отчетов из альтра-гимов.Просьба иметь в виду, что мы, возможно, используем не все эти доклады.Если вам нужно, чтобы я сократила это до тех, которые используются в настоящее время, мне нужно провести небольшой анализ., многие базовые отчеты , которые указаны в таблице с именем файла - местоположение ( 1 St столбец ) = мастер .mdb в настоящее время не используется в Ces.Дай мне знать, если у тебя будут вопросы.- - - - - - - - - 58 - - - - - - - - - - - - - - - - - глиняный детон 11 / 30 / 99 01 : 27 - : linda licarion / ces / ces / Columbiagas @ Columbiagas cc: тема: просьба о представлении полного списка отчетов о заявках, можете ли вы представить мне полный список отчетов о гаммах?- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - rburchf @ ect.энтрон.com 11 / 30 / 99 10 : 36 : 11, пожалуйста, ответьте на rburchf @ ect .энтрон.com to : глиняный детон / ces / columbiagas @ columbias cc : culliv @ ect .энтрон.com , bpene @ ect .энтрон.com субъект : просьба о представлении списка заявок на получение глины , у меня было несколько запросов от предпринимательских групп ena .Теперь, когда соглашение было окончательно доработано, для списков докладов из ваших ключевых приложений , которые являются , альтра gms и рискованные работы (могут быть и другие, по мере того, как люди становятся более осведомленными ) .Потребуется информация для эны, чтобы управлять контрактами по мере того, как мы пройдем переходный период.Мы считаем, что этот процесс будет легче проработать, если Эна знает, какую информацию они могут запросить по мере того, как мы пройдем через переходный период.Спасибо, Ричард - слайды - список отчетов по заголовку.xls"
"RussianPrompts","0","Тема: данные истории колумбии - нам, вероятно, будет задан вопрос о том, какая историческая информация необходима в нашем магазине с точки зрения логистики.Я бы предложил попросить новых сотрудников кесарева сечения дать нам список того, что они знают, нам, вероятно, нужно будет решить исторические вопросы о физических диспропорциях в трубопроводах и клиентах, а также любую другую информацию, которая поможет поддержать некоторые крупные клиенты и операции с активами.чтобы каждый из них составил список, который мы можем консолидировать и направить его ребятам.Спасибо - Боб - - - - - - - - - - - - - - - - - - - - - - - энронная технология от: индзя хун 01 / 05 / 2000 01 : 21 - : susan harrison / you ant @ est : bryce baxter - - - - - - - - - - - - - - - - - - - enron technology от: inja chun 01 / 05 / 2000 01 : : susan harrison / at ant : éct , brice baxter / / au - at ant @ est that that @ that that that the @ my janosh / you / ect : count : count / cock / ecick / ecich / / eci.com, Tommi j yanovsky / ou / ect @ ect , bet s perlman / lon / ect @ ect , filppe a bibi / ou / ect @ ect , mark friedman / ou / ect @ ect , mary solmonson / ou / ect @ ect , bob klein / u ect @ ect , ect , ect , gertannne hodges / u/ ect @ ect ect , lisa csikos / ou eu / ect @ ect , rita wynne / ou / ect @ ect ect субъект: данные по энергетике Колумбии: следующие решения, принятые в ходе сегодняшнего совместного заседания, касающиеся обработки данных о кесах .a. Bryce baxter будет координировать свою деятельность со всеми группами пользователей для выявления отчетов, которые необходимо печатать в печатном виде или передавать в файлы, доступ к которым будет обеспечиваться через электронную систему управления документацией.b. Джеффы будут работать с Брайсом Бэкстером над подготовкой отчетов с использованием системы &quot; Ces &quot; через линию &quot; исден &quot; в здании &quot; Энрон &quot; - это будет оставаться частью его обязанностей до тех пор, пока не будет выполнена работа (Джефф присоединился к &quot; ena &quot; в качестве члена группы &quot; sitara &quot; ).c. Ларри Даз будет работать с Джеффом и Брайсом Бэкстером, чтобы все отчеты были загружены на наши редмы правильной индексацией.d. нет необходимости манипулировать данными истории кесарева сечения (т.е. загружать в таблицы)Таким образом, на диске не будет храниться никаких данных, кроме edms."
"RussianPrompts","0","Тема: res: txu топливо для декембера вот лист .Я переместился по объемам, чтобы сохранить контракт с энроном целиком.Пожалуйста, позвоните, если у вас есть вопросы.Спасибо, ами 3 - 9272 Joanie hngo @ ect 01 / 06 / 2000 10 : 57 : : ami chokshi / Corp / enron @ enron cc: тема: re : txu топливо для декембера mi - когда вы закончите , пожалуйста, пришлите мне таблицу распределения .Спасибо.- - - - - - - - - - - - - - - - - - - - - - - - осмелюсь, фермер 01 / 05 / 2000 03 : 32 - : joanie hngo / ou / ect @ ect cc: тема: re: txu топливо для дембера ами Чокши будет отправлено вам, как только оно будет завершено .d joanie hngo 01 / 05 / 2000 02 : 28:00 до : осмеливающийся фермер / ou / ect @ ect cc : тема : txu топливо для декемберов .Пришлите мне табличку, если у вас есть.Спасибо."
"RussianPrompts","0","Тема: Валеро принял это предложение.Пожалуйста, подготовьте соответствующие билеты на сделку, и Дэн Хайвл подготовит новый контракт.- - - - - - - - - - - - - - - - - - - - - - - - - - - - - от - гэри - лмаяк - 01 / 07 / 2000 10 : 53 : - к : дан - / / - / / ец - - - - - - - - - - - - - - - от - гэри - 0 / 07 / 2000 10 : - 52 / - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - . - - от: гэри - хайера / / - - - - - - - - от гэри хайера / / у / ец - 01 / 07 / 2000 : - : 52 / - - - - - - - - - - - - - - - - - - - - - - - - -  - - . - энрон северная америка корп. из: гэрайера 01 / 07 09 09 :: 38 : : : :comc: Тема: проблемы Сьюзан, надеюсь, у вас будет отличный новый год и праздничный сезон!У меня есть пара вопросов, которые я хочу прояснить для контракта этого года.Вопрос в том, как Валеро хочет лечить три метра мест, где вы сейчас тянете газ.Наш новый контракт, который только что был направлен вам, имеет минимум 60, 000 мм (по оценкам, 35, 000 @ 8018 celanese, 15, 000 @ 1233 Texas , и 10,000 @ 1394 dodge Street).Если взять на любом метре избыточные объемы от другого метра, то они будут использованы для выполнения всех 60, 000 ммбту.Мой бухгалтер сказал мне, что это создает трудности с двумя заводами и как они хотят, чтобы сломались закупки газа.Мы обсуждали это по телефону и я получил ваше согласие разделить эти счета.Теперь нам говорят, что все три счета-фактуры должны быть раздельными.Так как мы всегда стремимся угодить клиенту, вот моя рекомендация для выполнения контракта по его смыслу.Пожалуйста, дайте мне знать, если все в порядке.35, 000 ммбту / d в любой данный день, если объем опускается ниже 35 , 000 hplc выкупит эти объемы в gd katy в середине двух дней после тексас-города 15 , 000 ммбту / d минимум в любой данный день, если объем опускается ниже 15 , 000 hplc выкупит эти объемы на gd katy в середине двух дней после додж-стрит 10 , 000 ммбту / d минимум в любой данный день, если объем опускается ниже 10 , 000 hplc выкупит эти объемы в gd katy в середине двух дней после потока любых избыточных объемов, взятых во всех трех местах, будут выставлены счета @ gd hsc высотой 2 дня после"
"RussianPrompts","0","Тема: hl & p соединены самые последние цифры ."
